glyph_name,ps_name,sort_final,sort_design,USV
ssa_aamatra,uni0CB70CBE,570,482,0CB7_0CBE
ssa_imatra,uni0CB70CBF,571,519,0CB7_0CBF
ssa_ematra,uni0CB70CC6,572,564,0CB7_0CC6
ssa_aumatra,uni0CB70CCC,573,602,0CB7_0CCC
ssa_virama,uni0CB70CCD,574,640,0CB7_0CCD
sa,uni0CB8,575,281,0CB8
sa.base,uni0CB8.base,576,681,
sa.sub,uni0CB8.sub,577,769,
sa_aamatra,uni0CB80CBE,578,483,0CB8_0CBE
sa_imatra,uni0CB80CBF,579,520,0CB8_0CBF
sa_ematra,uni0CB80CC6,580,565,0CB8_0CC6
sa_aumatra,uni0CB80CCC,581,603,0CB8_0CCC
sa_virama,uni0CB80CCD,582,641,0CB8_0CCD
ha,uni0CB9,583,282,0CB9
ha.base,uni0CB9.base,584,682,
ha.sub,uni0CB9.sub,585,770,
ha_aamatra,uni0CB90CBE,586,484,0CB9_0CBE
ha_imatra,uni0CB90CBF,587,521,0CB9_0CBF
ha_ematra,uni0CB90CC6,588,566,0CB9_0CC6
ha_aumatra,uni0CB90CCC,589,604,0CB9_0CCC
ha_virama,uni0CB90CCD,590,642,0CB9_0CCD
nukta,uni0CBC,591,283,0CBC
nukta.alt,uni0CBC.alt,592,646,
avagraha,uni0CBD,593,284,0CBD
aamatra,uni0CBE,594,285,0CBE
aamatra.large,uni0CBE.large,595,693,
imatra,uni0CBF,596,286,0CBF
iimatra,uni0CC0,597,287,0CC0
umatra,uni0CC1,598,288,0CC1
umatra.large,uni0CC1.large,599,694,
uumatra,uni0CC2,600,289,0CC2
uumatra.large,uni0CC2.large,601,695,
rvocalicmatra,uni0CC3,602,290,0CC3
rrvocalicmatra,uni0CC4,603,291,0CC4
ematra,uni0CC6,604,292,0CC6
ematra.large,uni0CC6.large,605,696,
eematra,uni0CC7,606,293,0CC7
aimatra,uni0CC8,607,294,0CC8
omatra,uni0CCA,608,295,0CCA
omatra.large,uni0CCA.large,609,697,
oomatra,uni0CCB,610,296,0CCB
oomatra.large,uni0CCB.large,611,698,
aumatra,uni0CCC,612,297,0CCC
aumatra.large,uni0CCC.large,613,699,
virama,uni0CCD,614,298,0CCD
virama.large,uni0CCD.large,615,700,
lengthmark,uni0CD5,616,299,0CD5
ailengthmark,uni0CD6,617,300,0CD6
nakaarapollu,uni0CDD,618,301,0CDD
fa,uni0CDE,619,302,0CDE
fa.sub,uni0CDE.sub,620,771,
fa_aamatra,uni0CDE0CBE,621,485,0CDE_0CBE
fa_imatra,uni0CDE0CBF,622,522,0CDE_0CBF
fa_ematra,uni0CDE0CC6,623,567,0CDE_0CC6
fa_aumatra,uni0CDE0CCC,624,605,0CDE_0CCC
